Type,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Coal,VA,"316,395","328,073","345,482","360,181","370,395","386,296","386,377","369,977","383,807","328,714","275,311","230,247","198,893","195,912","176,954","169,188","202,247","187,029","170,626","213,734","231,849","264,301","259,723","275,468","306,947","297,127","303,266","337,881","342,900","384,191","355,067","379,934","379,542","397,271","371,724","385,108","428,703","432,781","438,490","444,542","506,961","487,601","482,759","464,353","452,557","458,452","433,606","458,200","415,102","334,605","346,161","288,348","222,270","290,508","278,183","232,427","222,938","159,813"
Coal,VT,"3,507","3,906","3,019","3,352","2,730","2,707","2,198","2,059","1,884","2,074","2,129","1,942","1,355","1,473","1,469",744,579,719,477,595,537,"1,030","1,264","1,164","1,394","1,982",653,315,284,236,201,307,508,145,124,74,42,"2,695",53,"2,016",26,50,25,25,25,25,27,34,0,0,0,0,0,0,0,0,0,0
Coal,WA,"15,231","15,709","15,652","13,194","11,827","12,134","11,134","8,265","6,977","7,065","5,860","6,396","36,581","64,974","54,167","76,241","81,205","102,385","84,724","99,003","90,956","90,872","74,069","80,210","82,282","93,669","63,279","95,700","99,099","96,650","85,575","89,085","106,087","97,804","106,884","69,790","90,901","80,465","103,476","96,875","106,240","99,441","100,832","118,207","112,539","112,284","69,150","95,737","94,601","84,048","94,934","56,951","42,656","74,955","76,547","58,273","53,302","61,732"
Coal,WI,"304,624","307,795","310,326","319,255","333,408","347,925","370,695","360,809","356,191","373,891","381,558","337,268","333,641","310,735","278,640","272,045","303,970","307,515","296,054","321,063","327,310","327,327","324,150","352,824","363,416","360,704","371,384","386,561","394,074","389,885","394,460","405,601","395,035","403,278","424,867","441,615","454,596","486,597","472,029","480,722","499,233","494,043","491,990","488,239","499,212","522,521","462,732","465,083","480,712","425,941","458,442","447,370","373,281","454,554","417,096","408,189","357,335","388,614"
Coal,WV,"354,418","386,400","391,870","438,083","467,210","477,365","520,023","543,103","601,879","624,054","612,375","618,797","716,520","810,162","841,804","817,441","872,351","847,721","785,705","828,830","857,779","877,497","807,953","826,149","898,445","871,750","877,243","871,744","915,425","932,539","873,485","802,006","812,735","821,171","890,802","871,336","913,619","937,708","978,340","993,017","977,817","866,590","993,467","978,415","937,062","959,657","958,880","983,259","955,628","742,922","848,129","822,645","756,716","771,188","816,460","730,949","751,957","710,445"
Coal,WY,"15,763","20,100","23,749","30,292","32,379","34,454","41,450","39,826","43,608","55,566","63,488","58,819","80,086","102,406","109,107","128,034","179,069","230,740","228,079","268,946","268,122","318,915","333,591","313,646","359,414","405,502","336,607","428,126","445,702","425,603","459,772","450,771","491,324","467,772","490,891","463,533","474,076","468,350","516,261","496,169","506,147","499,817","480,360","493,897","500,526","490,940","489,325","494,955","500,109","473,912","484,239","467,671","490,128","520,699","489,300","487,177","457,315","458,496"
Coal,US,"9,830,513","9,618,013","9,904,585","10,414,512","10,967,543","11,582,398","12,145,291","11,917,043","12,337,535","12,383,168","12,268,895","11,603,202","12,109,530","12,960,121","12,651,009","12,655,613","13,575,890","13,907,111","13,769,684","15,041,652","15,460,982","15,937,724","15,269,049","15,867,060","17,013,578","17,540,071","17,240,884","17,949,877","18,885,663","19,055,165","19,167,682","18,989,140","19,117,802","19,836,126","19,903,559","20,098,843","21,002,157","21,443,603","21,583,324","21,582,103","22,575,538","21,906,355","21,902,852","22,322,634","22,464,302","22,793,450","22,444,214","22,747,914","22,382,816","19,691,342","20,828,382","19,663,856","17,380,923","18,038,771","17,996,577","15,548,985","14,227,138","13,839,632"
NaturalGas,AK,"2,034","2,300","4,048","5,567","6,805","7,670","12,282","11,889","17,636","42,940","64,045","68,045","75,032","63,703","63,188","85,175","90,571","116,859","145,025","157,236","153,805","122,214","237,881","239,678","258,039","214,042","208,311","251,512","288,798","321,207","326,826","367,952","383,887","375,971","367,592","432,813","443,629","425,394","434,437","422,817","437,972","413,049","420,808","415,891","407,944","434,704","375,719","372,186","343,938","343,971","334,978","339,819","347,228","332,631","329,274","333,936","330,883","343,908"
NaturalGas,AL,"190,706","191,533","201,250","211,348","230,316","236,949","240,755","262,055","296,690","310,822","307,750","294,838","287,100","279,958","282,454","271,747","232,758","248,715","244,969","291,485","278,342","281,022","253,391","229,993","239,598","227,780","210,226","214,611","243,192","253,577","252,128","261,476","287,947","302,250","299,250","332,399","337,764","337,431","341,973","349,076","368,472","344,004","389,965","360,483","391,927","363,398","402,044","430,649","414,260","466,272","544,405","609,288","677,380","625,869","650,570","701,582","715,033","681,516"
NaturalGas,AR,"222,202","215,311","235,477","252,846","278,852","277,661","289,632","295,756","321,569","349,990","383,478","334,979","317,640","327,475","290,102","257,445","248,194","234,379","220,898","255,010","273,987","265,043","227,389","211,726","214,432","199,350","202,982","172,340","218,787","251,139","234,465","212,680","226,598","232,682","247,187","271,956","274,991","264,019","272,888","257,666","256,114","231,590","247,899","254,571","217,921","216,600","240,885","229,610","238,424","248,100","274,774","288,906","300,572","288,045","273,009","296,826","315,617","317,614"
NaturalGas,AZ,"140,275","159,093","163,461","169,533","174,623","166,063","174,448","169,085","189,965","210,332","204,383","225,898","241,355","226,325","204,955","164,346","180,181","176,449","186,366","180,580","173,970","192,208","142,323","120,418","126,844","137,315","105,103","121,301","128,594","151,468","130,781","128,178","133,771","118,159","139,733","127,945","125,265","137,588","161,086","167,770","208,137","244,424","255,247","275,650","356,264","329,302","365,230","401,992","409,966","377,504","336,208","293,134","339,043","340,375","315,916","365,313","373,916","335,978"
NaturalGas,CA,"1,301,826","1,400,174","1,483,423","1,623,370","1,817,241","1,813,213","1,982,305","2,048,734","2,187,260","2,189,883","2,241,295","2,265,324","2,303,562","2,154,045","1,937,140","1,937,322","1,849,711","1,864,187","1,646,333","1,900,357","1,890,887","1,947,370","1,765,171","1,601,037","1,739,833","1,925,459","1,591,045","1,992,956","1,860,391","2,047,845","2,101,602","2,208,285","2,294,135","2,213,111","2,334,777","2,109,956","2,017,680","2,185,029","2,418,688","2,379,558","2,456,438","2,513,856","2,318,656","2,317,062","2,462,247","2,304,463","2,375,929","2,467,545","2,472,612","2,391,374","2,325,411","2,196,252","2,456,371","2,480,792","2,409,574","2,384,061","2,248,939","2,188,659"
NaturalGas,CO,"194,963","210,872","202,310","180,366","205,251","204,483","207,693","210,209","253,481","268,895","274,987","281,846","301,651","311,694","302,725","280,996","276,287","253,994","234,600","260,824","244,771","201,432","216,115","207,120","220,950","209,799","190,320","201,536","218,567","240,556","232,296","268,787","259,036","286,366","272,152","288,383","315,855","311,900","328,897","330,896","366,094","464,062","457,708","436,873","440,720","478,520","458,911","512,841","508,491","525,999","505,628","477,208","456,471","480,875","497,182","490,642","464,749","461,783"
NaturalGas,CT,"29,449","31,424","33,355","35,575","38,627","41,720","48,744","50,826","54,053","58,405","61,543","62,417","65,032","63,548","67,139","64,331","66,382","64,709","66,038","68,752","74,033","77,126","79,253","76,286","83,245","80,208","80,962","94,504","90,697","101,745","108,843","115,683","126,132","125,793","134,374","144,867","139,102","148,585","134,891","155,870","163,696","149,344","181,665","157,252","165,862","171,150","175,870","183,604","169,802","188,570","203,814","236,016","236,260","240,102","242,227","260,925","254,652","246,334"
NaturalGas,DC,"12,951","13,721","14,742","15,335","16,266","17,315","17,611","21,923","22,957","25,229","26,402","27,663","28,976","28,177","27,559","26,210","29,040","26,212","26,551","30,129","27,950","29,428","29,731","29,633","29,802","29,336","29,972","31,422","33,079","33,757","29,095","31,287","33,187","33,325","31,188","33,201","34,213","34,826","31,235","32,964","34,377","30,577","33,688","33,700","33,097","33,753","29,775","33,856","32,774","34,339","33,717","33,389","29,389","33,725","35,302","33,654","30,160","31,358"
NaturalGas,DE,"9,351","9,708","14,999","17,082","17,826","18,742","19,845","21,948","25,069","26,949","26,949","26,981","24,569","23,408","20,772","18,975","19,662","16,261","21,263","25,758","30,783","31,576","28,694","35,491","43,852","39,443","33,594","37,254","29,928","35,883","35,620","38,967","37,201","39,346","47,255","62,738","55,934","48,140","42,322","58,089","50,175","51,817","53,782","47,971","49,722","48,639","44,787","49,932","49,749","51,651","56,086","81,710","104,421","100,682","107,051","107,819","113,552","103,103"
NaturalGas,FL,"142,900","148,894","162,843","179,441","189,595","191,669","220,568","234,326","286,653","326,855","350,626","350,527","311,235","324,892","302,002","292,139","300,867","315,950","333,306","357,014","329,567","357,470","339,099","321,009","318,172","305,057","298,928","313,553","305,758","337,182","341,993","360,992","371,137","368,011","417,702","579,310","561,145","547,201","529,565","583,448","574,460","569,757","708,638","714,826","757,672","805,446","917,468","943,845","970,038","1,081,725","1,180,462","1,235,953","1,348,390","1,245,287","1,241,250","1,378,089","1,414,358","1,418,207"
NaturalGas,GA,"188,460","186,255","199,380","195,667","215,579","219,774","243,089","265,271","295,289","324,940","342,834","353,199","341,408","358,532","339,589","335,376","268,375","271,811","286,035","324,478","325,263","325,103","303,335","303,129","315,287","289,572","286,490","311,055","330,859","325,560","319,199","331,599","351,369","359,989","351,897","383,385","393,417","381,712","378,549","347,107","421,262","362,643","393,127","390,760","406,436","427,825","433,920","455,220","436,093","475,240","540,943","531,596","624,338","634,635","664,808","712,580","727,336","708,703"
NaturalGas,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,76,134,140,137,155,195,179,173,148,167,161,158,187,197,167,196,162,163
NaturalGas,IA,"193,688","211,826","221,026","220,538","244,609","249,988","244,028","278,580","303,746","325,026","351,800","347,740","347,617","369,016","371,639","348,564","313,917","281,367","238,754","292,191","270,333","253,927","238,917","223,581","238,314","191,609","163,616","157,888","196,345","178,635","172,149","188,083","179,626","196,652","198,503","210,496","223,127","208,360","184,856","201,472","203,042","193,445","194,041","197,629","198,017","210,742","207,162","264,166","297,357","283,990","278,751","277,576","266,283","306,419","311,352","302,936","317,115","376,293"
NaturalGas,ID,"22,776","24,808","26,709","28,366","33,014","36,092","38,992","35,929","40,387","42,389","49,411","53,152","60,084","59,296","55,285","63,776","49,843","48,269","46,570","56,792","51,646","48,107","42,849","36,833","40,341","41,115","35,450","37,780","41,551","46,904","46,786","52,741","50,382","58,294","59,069","65,687","69,191","70,801","71,912","73,361","74,518","81,804","73,482","71,754","78,273","78,118","79,041","83,904","90,550","87,072","85,075","83,947","90,339","107,089","93,610","107,871","110,344","116,017"
NaturalGas,IL,"536,127","576,551","624,035","655,743","737,326","778,662","868,621","979,649","1,027,219","1,121,210","1,203,225","1,260,009","1,237,471","1,176,722","1,175,830","1,123,588","1,204,616","1,199,778","1,196,435","1,170,615","1,076,174","1,053,097","996,628","956,269","1,056,089","979,924","920,227","873,837","972,786","1,007,747","951,868","999,478","1,003,295","1,043,124","1,038,608","1,093,289","1,136,534","1,095,556","975,542","1,011,875","1,040,261","958,425","1,051,213","1,001,534","955,972","972,710","896,138","968,652","1,003,219","956,553","962,240","986,310","939,024","1,063,511","1,108,134","1,011,357","1,045,034","1,034,951"
NaturalGas,IN,"219,758","248,273","281,781","297,815","333,685","357,502","399,896","434,632","454,467","531,512","548,640","570,398","580,410","541,215","530,276","472,567","420,969","394,286","436,149","499,345","482,288","487,854","471,776","425,164","451,395","433,689","396,365","412,377","459,359","465,877","456,002","460,594","485,267","521,235","523,523","538,395","576,285","559,146","527,435","558,192","576,102","505,274","538,368","566,838","526,391","535,512","499,753","543,800","555,489","511,289","577,423","635,117","654,528","680,051","723,942","735,055","779,945","747,968"
NaturalGas,KS,"373,664","364,020","373,666","367,759","391,306","440,802","481,093","446,454","490,591","540,660","574,542","605,775","626,853","597,207","578,795","490,748","505,408","497,279","507,973","571,266","481,990","422,564","400,519","345,858","360,762","354,756","307,990","343,155","347,982","338,559","352,645","373,151","338,755","386,513","415,552","367,750","360,921","338,569","325,041","302,023","314,868","273,862","307,432","284,722","260,117","258,695","269,274","291,695","292,523","292,425","280,413","285,318","268,086","288,274","291,483","280,421","276,404","278,639"
NaturalGas,KY,"153,807","156,328","163,826","173,508","179,666","176,734","152,219","197,083","201,137","240,050","252,265","248,514","259,546","250,136","231,423","209,199","248,673","221,936","215,021","220,854","204,062","202,235","191,042","177,528","193,323","177,681","173,524","178,271","190,884","195,826","191,704","196,251","200,899","213,053","221,269","245,572","248,009","239,307","212,107","225,390","234,171","216,705","236,124","231,384","233,361","240,853","217,166","235,876","233,165","214,261","239,057","229,048","232,701","235,703","262,278","276,867","279,935","296,911"
NaturalGas,LA,"1,003,771","1,064,610","1,050,301","1,128,773","1,201,445","1,156,449","1,245,597","1,440,390","1,539,750","1,784,110","1,894,224","1,938,558","1,996,015","2,072,164","2,068,614","1,854,766","2,121,366","2,274,100","2,349,710","2,051,384","1,862,179","1,847,639","1,629,186","1,472,328","1,661,309","1,441,820","1,496,106","1,560,707","1,506,424","1,622,888","1,654,692","1,596,766","1,619,499","1,637,028","1,649,015","1,737,257","1,687,569","1,857,072","1,679,040","1,558,295","1,625,863","1,347,228","1,475,464","1,353,179","1,393,140","1,367,497","1,346,690","1,430,621","1,369,823","1,315,265","1,482,948","1,535,704","1,585,876","1,504,968","1,547,175","1,594,204","1,718,308","1,717,520"
NaturalGas,MA,"80,612","84,630","92,131","99,924","108,193","115,712","117,709","129,884","133,913","138,632","149,074","158,329","162,204","157,258","156,666","154,583","157,185","161,465","161,964","157,883","169,897","165,351","181,781","185,610","208,279","221,026","188,754","231,953","216,402","260,271","273,581","283,708","344,350","350,562","381,130","391,216","386,953","411,405","367,039","361,211","357,716","364,097","404,456","414,970","383,625","386,339","378,026","418,907","415,247","408,509","447,428","464,018","430,920","435,312","432,523","457,124","440,725","462,724"
NaturalGas,MD,"73,315","76,520","84,796","89,004","94,255","100,979","102,826","121,287","129,702","147,720","159,584","164,689","180,283","177,629","175,541","141,854","149,642","135,168","139,642","179,631","162,955","177,238","159,832","148,327","162,784","155,581","157,872","174,143","177,667","198,687","180,566","182,961","189,963","186,562","190,998","198,577","200,827","219,008","195,457","202,525","219,031","184,783","203,489","204,345","201,801","211,830","189,179","208,439","202,744","203,604","217,625","199,132","216,558","206,126","217,227","225,969","229,508","232,504"
NaturalGas,ME,0,0,0,0,0,0,522,775,819,"1,139","1,315","1,475","1,554","1,657","1,635","1,976","2,083","2,047","2,166","2,162","2,162","2,288","2,686","2,475","2,528","2,620","2,549","2,747","3,283","3,930","4,572","5,001","5,333","5,191","5,268","5,538","5,821","6,470","5,789","6,646","48,041","101,190","126,275","73,517","89,581","64,818","67,557","67,227","74,494","73,569","80,988","75,061","70,451","65,886","62,423","54,203","54,509","45,127"
NaturalGas,MI,"382,980","422,582","459,179","470,503","505,780","563,563","626,782","699,131","711,046","788,222","821,261","863,320","877,742","929,555","942,595","894,795","895,140","745,743","793,936","880,367","874,651","811,399","762,073","710,144","727,492","717,041","686,621","668,667","763,254","797,304","879,335","889,956","964,201","924,909","917,002","970,995","1,017,096","987,593","871,603","947,027","971,656","924,496","984,715","950,714","938,628","927,535","816,993","814,887","797,534","750,783","758,696","787,337","804,084","831,741","878,128","871,834","926,828","908,813"
NaturalGas,MN,"186,121","199,324","221,625","218,609","236,502","248,244","265,810","285,350","315,017","328,944","343,007","352,144","352,111","360,450","351,995","331,518","319,516","292,501","312,196","332,631","284,941","264,845","263,011","246,314","256,402","258,499","244,526","239,750","285,439","301,369","291,771","318,200","312,165","331,511","327,091","357,493","374,298","360,264","337,078","351,078","367,359","344,882","374,171","374,189","362,346","372,082","358,198","395,658","435,086","405,516","427,186","424,958","430,277","478,611","490,111","448,557","466,365","466,592"
NaturalGas,MO,"270,074","284,094","299,614","309,136","332,023","347,967","357,396","367,195","372,856","406,671","432,532","432,108","428,192","424,673","411,933","371,837","381,399","367,704","360,269","340,138","322,842","287,706","282,312","264,229","269,127","263,961","244,317","234,492","254,438","252,657","241,335","258,636","241,227","280,680","267,762","281,056","296,414","285,391","261,463","269,052","288,058","288,586","278,873","265,133","268,289","273,386","257,924","277,919","298,421","266,711","282,123","275,308","258,945","281,399","301,368","270,885","273,583","264,753"
NaturalGas,MS,"187,874","190,591","199,391","222,937","250,528","250,626","284,500","288,650","319,377","333,993","369,391","387,779","387,436","321,528","283,104","235,345","203,702","202,631","208,038","260,547","270,909","249,062","276,666","244,281","276,617","233,010","220,195","212,336","216,397","232,394","261,921","257,004","250,696","235,310","266,219","295,377","277,468","264,210","252,445","317,777","312,078","340,904","354,550","275,147","290,512","310,713","315,909","374,990","364,237","371,245","444,875","437,873","499,946","426,902","439,557","536,996","561,342","543,743"
NaturalGas,MT,"57,638","61,314","65,680","66,566","69,486","70,795","72,116","64,908","62,835","78,205","90,601","91,096","87,020","93,117","81,667","81,190","75,412","71,595","72,686","69,114","61,453","53,029","52,782","46,619","47,098","47,312","41,148","39,561","42,872","46,671","44,378","46,719","46,615","54,265","53,315","59,571","63,251","61,699","61,398","63,624","69,590","66,483","70,992","70,048","68,567","71,089","75,135","75,077","77,645","76,635","72,888","79,470","75,234","82,298","80,063","77,443","77,589","83,253"
NaturalGas,NC,"47,032","52,291","58,346","64,539","70,932","78,245","89,442","100,822","117,794","140,204","154,856","164,420","167,831","165,215","143,722","116,889","102,996","73,905","83,695","133,751","155,149","154,283","146,759","141,025","148,682","138,331","140,256","153,261","156,550","166,835","166,744","172,818","186,902","192,526","195,303","212,010","222,106","223,419","222,659","224,741","240,727","215,600","243,143","227,387","232,214","237,525","230,169","244,475","249,654","252,729","308,710","311,189","367,948","445,018","462,289","516,026","540,271","519,903"
NaturalGas,ND,"27,356","29,310","32,045","32,283","33,390","32,437","31,864","32,049","33,317","32,944","33,731","34,618","37,604","33,206","35,530","36,862","41,177","37,650","39,067","29,236","23,830","35,457","29,003","27,302","22,888","25,551","21,367","20,616","25,018","25,922","28,045","36,122","32,147","36,274","39,325","41,663","45,716","53,699","45,753","53,404","53,421","57,334","61,592","56,088","56,410","49,643","50,007","56,842","60,480","51,921","64,263","72,247","71,873","82,334","89,095","100,852","105,625","112,052"
NaturalGas,NE,"140,430","144,566","149,324","145,771","160,545","164,719","195,864","187,907","202,938","209,613","224,114","225,463","226,358","230,780","223,253","217,521","197,442","188,426","162,693","168,959","159,483","133,481","135,550","124,993","129,488","121,224","101,872","105,571","117,991","116,612","106,854","111,956","103,220","122,210","123,981","133,675","133,525","132,007","131,114","121,364","127,260","124,051","121,174","119,741","116,006","120,125","131,424","153,490","172,858","165,418","169,608","173,657","161,770","179,617","179,705","170,346","172,929","175,568"
NaturalGas,NH,"2,952","3,124","3,431","3,607","3,817","4,133","4,197","4,522","4,208","5,826","6,796","7,658","8,015","8,120","8,391","7,707","7,919","7,617","8,204","8,699","8,874","9,709","9,686","9,522","10,116","10,393","10,197","11,840","12,830","13,606","14,265","14,098","16,907","16,932","19,813","20,046","19,295","21,146","19,233","20,383","26,207","24,757","26,077","56,415","63,829","72,934","64,644","64,856","74,025","62,049","62,612","72,778","74,336","55,649","58,785","70,742","59,638","53,748"
NaturalGas,NJ,"144,132","159,189","180,307","197,097","209,714","219,196","236,816","261,542","278,430","316,113","331,247","335,264","329,642","309,709","282,201","251,669","332,467","255,522","236,852","269,934","341,149","391,491","377,216","407,751","419,435","375,320","350,584","418,223","409,818","468,254","447,829","495,053","625,894","651,646","706,021","713,123","718,698","735,341","696,034","737,575","617,898","573,040","617,094","635,689","644,467","625,429","566,724","640,236","634,694","638,324","671,005","677,521","670,827","711,999","805,145","778,866","793,928","734,132"
NaturalGas,NM,"207,301","218,948","247,090","239,911","226,697","224,253","247,390","280,382","286,329","276,591","292,522","291,726","311,897","274,018","273,397","255,637","294,878","242,912","225,451","223,092","231,330","205,433","213,347","184,595","169,781","162,312","144,532","164,588","185,246","205,131","251,470","227,349","211,096","224,999","221,479","219,476","233,557","261,881","241,406","231,312","259,018","259,626","229,691","225,220","229,164","225,352","227,661","239,858","252,831","247,947","246,201","251,838","249,815","252,867","256,056","260,038","259,158","249,878"
NaturalGas,NV,"12,883","16,419","18,141","20,681","25,579","29,395","36,305","36,822","39,177","46,700","56,868","71,965","75,223","77,967","67,689","65,355","71,205","74,534","66,305","85,539","62,016","78,744","49,889","44,691","44,747","41,626","35,772","41,694","48,338","65,538","66,759","68,175","81,193","87,493","104,940","112,502","126,894","135,497","154,656","159,981","194,126","181,256","181,010","191,050","221,648","236,007","257,595","262,547","274,915","284,007","267,808","255,970","281,432","282,245","261,902","312,602","316,653","306,398"
NaturalGas,NY,"434,127","450,630","491,055","520,712","527,890","558,658","645,684","602,670","653,282","698,046","725,813","731,597","707,277","703,023","641,925","585,536","604,276","567,877","576,482","633,562","752,573","770,856","790,695","738,159","809,500","782,888","749,210","801,487","812,385","869,652","894,964","916,539","1,032,726","1,021,481","1,094,082","1,293,868","1,229,479","1,357,187","1,266,346","1,308,185","1,278,811","1,204,885","1,227,223","1,131,344","1,126,597","1,107,206","1,120,196","1,214,349","1,205,137","1,166,614","1,224,484","1,247,757","1,260,950","1,315,282","1,392,378","1,396,693","1,336,455","1,280,124"
NaturalGas,OH,"724,824","746,456","784,630","826,138","852,659","909,391","975,841","994,595","1,018,464","1,063,953","1,077,151","1,112,130","1,174,203","1,131,760","1,114,904","978,885","1,031,075","867,837","950,973","920,390","841,059","818,902","770,419","708,534","768,864","739,854","744,329","747,082","837,475","847,953","775,706","798,398","838,235","864,580","871,347","923,007","966,665","936,758","842,630","871,913","926,922","836,825","862,453","877,891","862,397","860,874","770,872","835,555","823,457","770,759","810,593","848,771","869,556","945,731","1,058,802","1,031,716","994,162","1,014,754"
NaturalGas,OK,"319,270","316,051","416,403","490,988","522,805","480,079","449,319","460,163","507,884","558,754","616,279","631,152","649,909","625,808","681,130","678,851","770,752","787,694","788,658","844,294","738,931","694,455","692,328","655,366","669,277","603,855","570,749","617,551","611,171","620,318","628,222","589,960","565,655","600,099","595,671","586,432","587,957","573,479","583,964","550,768","546,706","505,220","522,530","556,306","555,273","600,011","644,381","677,472","711,379","681,062","697,351","676,910","712,411","682,277","667,360","711,393","736,164","691,654"
NaturalGas,OR,"31,941","35,011","39,190","46,731","57,979","59,990","69,324","73,999","83,504","92,598","99,572","105,437","115,326","114,331","102,365","114,184","95,830","75,567","90,025","97,905","82,324","78,887","73,916","69,791","81,467","85,486","72,523","82,487","89,162","111,807","111,724","127,778","127,163","141,796","152,929","152,111","188,209","193,771","239,269","246,996","230,962","235,634","206,808","215,102","238,049","239,539","229,731","260,240","274,659","254,837","242,914","203,607","220,578","244,265","226,472","245,897","249,829","262,755"
NaturalGas,PA,"540,094","547,651","568,742","609,513","632,666","652,906","702,888","701,546","741,600","791,217","797,877","828,583","856,316","811,496","732,721","670,085","731,356","682,372","688,256","756,079","789,585","791,190","708,310","658,671","699,645","646,711","631,709","658,802","692,470","714,659","680,468","666,938","717,188","731,693","738,865","761,428","770,927","730,639","667,150","713,447","727,214","668,960","700,472","717,461","723,189","719,117","684,695","780,090","778,251","839,453","909,259","1,000,507","1,079,495","1,175,535","1,304,080","1,313,350","1,354,340","1,403,656"
NaturalGas,RI,"12,253","13,227","14,277","15,343","16,145","17,036","17,385","19,251","21,574","23,503","25,620","26,201","22,966","20,888","24,090","23,453","20,966","25,964","23,339","27,526","27,948","28,873","28,134","29,445","32,535","30,725","26,931","36,824","31,217","34,628","40,399","77,996","117,757","76,502","112,094","103,499","127,144","120,513","134,033","120,719","91,787","98,571","89,824","80,339","74,352","82,460","78,517","90,259","91,220","94,877","95,710","102,465","98,435","88,274","91,374","96,514","88,471","94,751"
NaturalGas,SC,"60,581","63,060","73,118","78,478","82,101","90,513","100,873","104,561","132,104","145,896","164,305","160,638","148,156","157,128","135,291","125,900","152,416","141,633","121,336","121,479","146,846","145,000","100,978","104,301","111,184","100,109","101,474","108,597","115,146","119,649","134,089","137,393","141,758","145,591","148,708","155,957","153,883","158,673","164,881","167,960","165,026","147,167","190,714","151,904","169,518","178,308","181,895","182,201","175,858","197,419","225,961","235,465","250,481","236,942","236,040","284,013","284,225","285,533"
NaturalGas,SD,"25,392","26,724","28,372","25,084","27,528","26,884","28,256","27,846","28,959","33,995","36,464","31,959","34,214","31,283","32,044","32,534","39,168","36,097","35,395","25,611","24,020","22,076","25,014","23,582","24,862","25,454","23,409","21,361","24,701","25,922","25,446","26,730","27,035","31,708","31,228","34,738","37,342","36,772","33,370","36,004","38,117","37,035","41,532","43,868","41,757","42,848","40,861","54,099","65,453","66,317","72,926","73,973","71,501","84,527","83,919","83,370","85,021","85,171"
NaturalGas,TN,"151,740","166,703","173,967","179,197","191,178","211,142","236,752","241,965","243,425","257,524","261,784","270,841","283,375","300,079","265,374","224,065","218,483","208,401","189,201","233,860","233,323","227,063","212,041","199,046","211,280","196,698","194,003","206,963","220,847","228,488","227,522","234,594","249,234","263,147","253,995","264,854","289,307","291,824","287,443","286,363","280,666","265,461","263,690","265,806","238,761","238,400","230,047","229,520","238,441","223,019","263,365","267,929","281,007","284,750","313,887","322,468","336,341","331,680"
NaturalGas,TX,"2,815,483","2,831,993","2,959,563","3,044,428","3,040,492","3,181,456","3,404,262","3,638,596","3,836,859","4,024,717","4,203,877","4,482,576","4,531,777","4,746,155","4,584,002","4,046,930","4,074,690","4,254,885","4,329,773","4,131,399","4,226,105","4,052,341","3,503,024","3,335,505","3,556,196","3,514,363","3,312,909","3,435,408","3,665,182","3,886,107","3,876,543","3,823,075","3,768,323","3,925,163","3,885,072","4,037,538","4,268,665","4,231,566","4,377,957","4,138,068","4,550,106","4,382,935","4,444,506","4,177,143","4,039,787","3,621,139","3,544,789","3,626,526","3,653,462","3,481,133","3,689,581","3,800,578","3,964,124","4,131,226","4,060,592","4,263,860","4,151,063","3,994,212"
NaturalGas,UT,"72,441","79,168","87,938","88,494","99,071","99,810","95,740","97,068","101,626","110,888","114,377","113,876","116,399","116,335","115,206","117,952","138,603","100,999","113,322","120,980","124,990","109,703","110,526","118,449","124,247","123,750","99,706","106,906","117,778","123,414","126,913","142,458","132,362","149,255","146,416","166,860","168,059","172,248","177,960","169,255","173,439","167,582","172,366","163,527","164,154","168,770","197,894","231,125","237,414","223,646","229,078","230,672","232,630","258,661","251,649","242,848","250,199","231,342"
NaturalGas,VA,"68,431","73,034","79,884","86,240","91,963","98,615","125,287","119,364","125,708","132,739","140,072","147,758","159,705","156,669","146,811","123,625","125,855","120,734","136,935","136,958","160,886","154,925","154,574","146,846","148,534","144,466","146,586","165,106","169,565","180,403","192,022","188,469","220,950","248,412","260,366","283,873","269,837","259,571","271,387","287,144","277,688","246,406","266,853","272,055","285,607","311,537","283,456","331,018","310,647","330,369","385,768","383,436","424,000","433,438","438,697","526,314","572,103","596,697"
NaturalGas,VT,0,0,0,0,0,0,906,"1,374","1,674","2,391","2,679","3,066","3,817","4,212","4,785","4,005","3,700","4,025","3,819","4,398","3,951","4,352","4,340","4,324","4,829","4,958","4,954","5,113","5,494","6,064","6,678","6,982","7,570","7,221","7,274","7,259","7,461","8,309","7,827","8,128","10,545","7,909","8,399","8,441","8,708","8,396","8,062","8,874","8,665","8,679","8,501","8,677","8,287","9,743","10,853","12,245","12,383","12,286"
NaturalGas,WA,"67,207","72,805","84,281","93,433","113,935","116,216","124,827","135,245","148,065","153,481","158,242","165,279","179,823","207,952","191,311","171,236","154,881","149,077","133,338","165,950","135,451","131,176","114,396","111,791","131,958","139,974","121,783","136,071","150,514","167,828","167,430","179,237","180,583","229,613","263,176","264,474","283,909","268,141","303,307","302,262","297,569","322,413","240,494","255,839","269,572","272,167","271,034","279,429","307,085","319,739","294,871","272,261","271,947","327,840","320,167","327,738","324,929","351,273"
