Type,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Coal,ID,"16,845","17,103","18,028","16,589","18,234","15,863","14,867","13,401","11,552","9,853","7,935","12,157","10,531","10,636","11,362","13,416","15,162","12,102","11,424","11,856","9,610","9,801","10,358","9,466","9,020","8,870","8,617","8,859","9,710","9,757","10,086","12,271","9,620","9,782","9,663","8,946","7,311","6,410","8,783","7,976","13,732","11,395","10,194","10,219","12,336","11,286","8,212","10,261","8,604","8,443","8,527","7,846","5,186","7,965","7,472","4,249","2,432","2,615"
Coal,IL,"914,648","899,157","912,473","912,344","944,485","1,014,492","1,072,076","1,030,722","1,006,199","1,012,703","920,303","843,847","852,205","884,606","874,930","845,574","862,231","860,555","841,562","845,402","844,481","796,603","778,512","848,229","833,205","811,110","804,201","783,231","745,182","720,967","748,159","757,572","698,647","812,832","825,387","826,679","919,858","974,920","949,046","958,832","1,016,555","983,729","986,832","1,010,087","1,069,538","1,047,532","1,045,398","1,091,382","1,103,163","1,014,972","1,069,037","1,052,224","969,294","1,026,925","1,017,855","850,430","702,467","685,000"
Coal,IN,"794,942","798,090","785,052","815,496","860,401","900,562","967,518","930,848","961,526","996,123","1,006,824","942,253","1,050,876","1,097,874","1,038,072","1,061,168","1,062,942","1,109,953","1,074,576","1,171,644","1,156,965","1,150,611","1,007,163","1,105,128","1,209,499","1,193,273","1,130,131","1,166,555","1,267,244","1,292,598","1,361,800","1,338,976","1,291,098","1,319,875","1,297,228","1,344,410","1,374,505","1,423,469","1,447,976","1,477,167","1,595,037","1,569,235","1,547,530","1,570,700","1,614,210","1,594,399","1,587,100","1,572,084","1,558,078","1,365,413","1,449,371","1,333,442","1,193,465","1,198,611","1,221,492","1,007,472","948,386","929,271"
Coal,KS,"15,724","13,478","14,595","16,716","14,827","15,282","13,680","12,231","12,740","9,771","10,701","10,817","12,416","24,625","39,107","62,280","73,379","89,517","136,849","147,482","191,574","212,932","212,511","231,156","274,843","259,501","251,692","267,406","269,294","267,926","271,741","268,537","253,303","302,570","300,955","289,709","338,314","310,907","309,382","329,308","362,797","354,647","391,664","389,464","385,498","379,823","364,212","396,333","371,804","356,079","359,908","346,521","307,585","326,817","316,572","273,416","253,121","216,747"
Coal,KY,"286,738","288,113","287,376","368,036","401,711","415,492","426,294","434,203","444,142","470,838","527,054","550,397","583,808","573,386","593,822","558,334","617,452","613,466","617,183","609,287","641,685","663,926","626,978","637,850","670,985","716,929","749,913","746,716","821,777","767,632","803,503","802,748","812,932","921,147","896,399","929,379","952,091","977,760","958,990","987,592","997,621","1,013,055","950,941","943,652","961,759","986,263","1,023,263","1,020,709","1,024,816","937,106","1,009,823","1,010,623","909,705","914,774","913,452","796,484","736,584","639,356"
Coal,LA,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"1,774","3,747","2,518","2,456","23,727","64,251","106,718","119,071","159,097","171,903","172,355","212,090","207,701","208,871","214,236","223,538","223,457","230,869","216,826","205,405","226,065","225,283","227,687","253,263","239,990","232,109","247,978","256,716","253,518","265,214","249,800","262,470","252,519","259,750","269,993","238,811","228,055","209,973","174,221","140,513","142,267"
Coal,MA,"118,745","120,459","119,907","115,969","123,421","127,922","112,103","101,438","87,696","60,429","21,393","13,054","7,677","5,151","26,447","24,484","3,953","4,008","3,163","4,632","22,845","26,644","89,641","96,877","116,021","110,246","99,755","117,626","116,851","121,873","114,004","117,917","112,044","99,579","101,755","105,363","113,698","122,896","109,862","113,610","114,658","109,014","118,358","109,373","105,075","119,333","112,173","120,168","106,897","92,056","83,850","42,963","24,036","42,208","29,871","24,177","20,115","12,407"
Coal,MD,"226,566","230,214","252,310","275,328","300,629","327,393","339,046","350,715","362,795","355,397","311,292","273,953","226,421","256,761","217,510","197,160","245,318","189,728","209,720","240,709","235,710","210,368","217,256","232,600","270,158","256,210","275,042","288,901","301,217","295,785","286,482","274,761","247,493","261,730","268,862","289,562","292,476","289,686","303,896","305,186","312,162","318,851","325,834","329,590","327,239","329,304","324,657","327,979","309,294","266,860","266,067","241,190","192,334","183,191","201,220","165,994","162,931","106,973"
Coal,ME,"20,408","19,505","17,821","12,541","8,082","7,992","7,401","5,618","4,592","4,272","2,166","2,301","1,402","1,418","1,957","1,311","1,050",603,719,778,"3,008","3,141","6,935","5,895","4,951","5,093","9,294","6,849","6,906","6,757","10,413","15,409","27,500","17,377","17,631","10,995","9,827","8,966","7,294","6,864","9,980","7,875","8,000","7,481","7,336","7,059","6,618","6,583","5,908","1,652","2,279","1,542","1,299","1,657","2,142","2,588","2,194","2,168"
Coal,MI,"653,141","637,466","695,978","758,970","780,945","830,191","897,159","870,628","933,607","908,860","828,881","837,639","843,677","791,284","709,962","750,983","717,683","692,982","671,257","758,928","759,026","757,492","711,387","706,594","747,632","781,884","811,930","840,236","830,904","790,246","788,043","764,149","707,470","715,473","800,996","786,684","796,303","781,123","826,852","832,638","799,800","789,703","739,866","747,940","773,825","799,463","773,595","801,178","799,969","735,907","749,285","691,150","621,633","658,172","618,479","617,280","471,236","499,439"
